
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 10-Feb-2026 at 09:55:27.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        FAIRTEN4        FAIRTEN5        FAIRTEN6        ANCHTEN1        ANCHTEN2        ANCHTEN3        ANCHTEN4        ANCHTEN5        ANCHTEN6
       (s)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)
    0.5700   1.3253881E+07   1.3278890E+07   1.3895489E+07   1.3905083E+07   1.3459561E+07   1.3424957E+07   1.3292753E+07   1.3314950E+07   1.3920793E+07   1.3932595E+07   1.3537185E+07   1.3503186E+07
    0.5800   1.3247898E+07   1.3273072E+07   1.3890917E+07   1.3900416E+07   1.3451934E+07   1.3417261E+07   1.3291248E+07   1.3314103E+07   1.3917880E+07   1.3928909E+07   1.3521766E+07   1.3487883E+07
    0.5900   1.3241965E+07   1.3267306E+07   1.3886127E+07   1.3895514E+07   1.3444060E+07   1.3409332E+07   1.3289453E+07   1.3313057E+07   1.3915493E+07   1.3925697E+07   1.3505208E+07   1.3471399E+07
    0.6000   1.3236248E+07   1.3261756E+07   1.3881069E+07   1.3890317E+07   1.3435895E+07   1.3401139E+07   1.3287143E+07   1.3311560E+07   1.3913532E+07   1.3922898E+07   1.3487918E+07   1.3454136E+07
    0.6100   1.3230898E+07   1.3256570E+07   1.3875685E+07   1.3884757E+07   1.3427399E+07   1.3392655E+07   1.3284136E+07   1.3309401E+07   1.3911867E+07   1.3920413E+07   1.3470315E+07   1.3436504E+07
    0.6200   1.3226051E+07   1.3251885E+07   1.3869934E+07   1.3878785E+07   1.3418546E+07   1.3383861E+07   1.3280315E+07   1.3306433E+07   1.3910337E+07   1.3918110E+07   1.3452801E+07   1.3418910E+07
    0.6300   1.3221814E+07   1.3247806E+07   1.3863784E+07   1.3872361E+07   1.3409313E+07   1.3374744E+07   1.3275635E+07   1.3302582E+07   1.3908757E+07   1.3915829E+07   1.3435750E+07   1.3401731E+07
    0.6400   1.3218264E+07   1.3244408E+07   1.3857209E+07   1.3865456E+07   1.3399700E+07   1.3365309E+07   1.3270131E+07   1.3297854E+07   1.3906924E+07   1.3913383E+07   1.3419485E+07   1.3385303E+07
    0.6500   1.3215450E+07   1.3241738E+07   1.3850198E+07   1.3858056E+07   1.3389715E+07   1.3355568E+07   1.3263916E+07   1.3292334E+07   1.3904627E+07   1.3910572E+07   1.3404270E+07   1.3369907E+07
    0.6600   1.3213395E+07   1.3239819E+07   1.3842743E+07   1.3850155E+07   1.3379383E+07   1.3345546E+07   1.3257169E+07   1.3286182E+07   1.3901660E+07   1.3907189E+07   1.3390297E+07   1.3355755E+07
